comments	contain_gender_bias	bias	hate
40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는거 개극혐ㅋㅋㅋㅋ당신들의 튀어나온 뱃살과 흉측한 얼굴을보고 반성하길바람^^;;;	True	gender	hate
40대 이모라 집중이 안됨... 20살 초반으로좀 캐스팅좀 ㅠㅜㅠㅜ	True	gender	offensive
40대늙은이 32% 돌아이련들...쯧쯧쯧	True	gender	hate
40살에 폐경에 다리까지 노답이라이 ㅋㅋㅋ	True	gender	hate
40살여자랑 로맨스 ㅋㅋ별로다	False	others	offensive
40세 이상 한녀들은 임신도 못하는 사실상 쓸모없는 분리수거 대상	True	gender	hate
40이다 상관 없다는 넘들 애들이군	False	others	offensive
43.1 이라 .. 행복해서 살쪘다는걸 보여주고싶은건가? 아니면 임...신?	True	gender	offensive
45가 정상인가? 애들이 따라할까 무섭다	False	others	offensive
45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에 갚는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에 얼마 번다는거야 ㅋㅋ	False	none	none
47kg면 내 몸무겐데 난 소멸되겠다.ㅎㅎ	False	none	none
47살에 출산?	False	others	offensive
4년전정준영카톡이 이게 이렇게 큰일이냐?ㅋ 더럽네정말.. 누가봐도 꼬리짜르기구만	True	gender	offensive
4억 장윤정에게는 껌값일텐데 비정한딸	False	others	offensive
52도 빼야되냐	False	none	none
52면 날씬한건데..	False	others	none
52키로 딱 좋앙~~~	False	none	none
52퍼 되는 여자들 강한나 테러하네 ㅋㅋ 그만들 하세요 님들 너무 추해 보임	True	gender	hate
53살 아빠면 어때 아빠가 곽부성인데.... 축하해요	False	none	none
5명이랑 관계하면 거기 아플텐데... 누구말이 맞는건지.. 에휴	True	gender	offensive
60만원으로 무슨 5억 피해입은 마냥 폭로하는 놈도 그렇고, 60만원을 안 갚고 쌩깠던 매니저 놈도 그렇고.. 참 안습이다.. 인간들 요즘 왜 그런지 참 ㅉㅉ... 신상털기, 먼지털기가 인생 낙인갑다..	False	none	none
60에서 14면티가나는데 120에서 14면 흠	False	none	none
68%의 아줌마들아. 니들 자식들한테 고운말 하라고 가르치냐? 니들 댓글 모음이나 자식들 보여줘라	True	gender	offensive
6명이서 그깟 20년 한거가지고 참 ㅋㅋㅋㅋㅋㅋㅋㅋ강필주는 혼자 20년 기다리고 참아왔다..	False	none	offensive
6명전부 별론데 그나마 저중에 문희준이 제일 인기많았고 돈 많이 벌었고	False	none	offensive
6월 29일 전미선에 이어 7월 31일 박일 성우님... 올해 몇번째 연예계 비보가 내려오는 거죠?	False	none	none
75% 여성비율 30대 37% ㅎㄷㄷ 능력있는 한국남성분들 국제결혼이 답입니다. 일본여자 노려보세요	True	gender	offensive
79년생 하하 아직도 초딩캐릭터 아냐? 김종민도 그렇고 어른 이미지로 가는거 별로 안좋아할텐데	False	others	none
82년생김지영이는 못나오나보네 ㅋㅋㅋㅋ	True	gender	offensive
82키로 김지영 왜보냐...? 저런 쓰레기 영화 안봄 ㅋ	True	gender	hate
90년대일을 이제와서 웨꺼내구 그러시는지 사실맞는지두 확인안되구 참	False	none	none
9살 딸이 지금까지 본 주말 드라마 중에 제일 재미없어!!하고 끄고 양치하고 잠.. 새나라의 어린이로 만들어주는 드리마.. 최수종배우님 죄송ㅜㅜ	False	none	offensive
? 대세배우 ?	False	none	none
? 여태껏 동거한거에요?	False	others	offensive
???그냥 눈화장 색이 변한거 같은데.. 뭐가 달라진거죠??톤만 좀 연해진거 같은데..	False	none	none
B급 가수.. 가수라 하기도 애매하다	False	none	offensive
Edm 천재 박명.수	False	none	none
Ft아일랜드 이홍기 원맨쇼지 ㅋㅋㅋ 나머지 멤버 무쓸모	False	none	offensive
HOT 팬들은 사람죽일 정도로 극성이였다든데	False	others	hate
JTBC 는 좌빨 방송인데. 이래서 여자들이 문재앙 좋아하나?	True	gender	hate
JTBC 드라마는 기대가 하나도 안됨. 본적도 없어. TVN에서 만들면 모를까	False	others	offensive
JYP에서 연습생 한 3년은 해라	False	none	none
KBS 주말극은 한번씩 꿀잼 노잼 하는것 같다 황금빛 보다가 이건 못보겠다 연기들이 너무 발연기다	False	others	offensive
KBS 주말드라마 인가요?	False	none	none
KBS에서 이영자한테 대상준게 이해안됨 안녕하세요 시창률도 그닥인데 차라리 이동국을 주지 왜!	False	others	offensive
M&A전문가란 직업이 있어요?^^PF금융업억 종사하는데 저런 직업은 처음.ㅋ	False	none	none
Mbc 주말 드라마 다시했으면 ㅠㅠ	False	none	none
Metoo운동은 무슨 얼어죽을... 마녀사냥이지...youtoo운동으로 대항해야함	True	gender	hate
No no japan!!! 필요없다	False	others	hate
OOO 조개갖고 개ㅈㄹ하는 태콩이나 개촐싹대는조샌징들이나 ㅈㄴ웃김ㅋㅋㅋ	True	gender	hate
OOO들 모임이네. 뉴스에1분도 못나오는 뒷방3류아나라 잃을것도업시 친문좌파 방송국설립하려고 아나퇴사하고 개쌉친아나들. 와꾸만 번지르하고 속은맘충들과동급. 소신지키고 아나로서 소명을다한 배현진이 새삼 이쁘다	False	others	hate
OOO옆에는 OOO들이침흘리면서 있다는걸 모르는뇬들이 있네..무조건 남자혐오증 걸리지말고연예인. 인기인이라면 빤쯔흘리는뇬들이 얼마나 많은지 모르나...	True	gender	hate
OOO이라서 그런지 울때 표정이 안찡그려지는듯	False	others	offensive
SBS뉴스는 연예가중계냐? 연예인 아니면 기사 쓸거 없어?	False	none	none
SE$ 아닌가요 이제 Sea Eugene $hoo	False	none	hate
SM에 핍박 당하고 여기서 다 끝났다고 생각하십니까? 인생은 항상 반전이 있습니다 무죄로 밝혀지면 이제는 배우로 열심히 활동하면 됩니다!	False	none	none
SNS올리는 건 문제 아닌데 이걸 기사로 만들어진다는 게 문제 아닐까?ㅋㅋ	False	none	none
TV조선이 띄어줬는데 당연줘야한다고보고 희트곡하나없는데 아무리 그래도행사비를이렇게많이 받다니 이런다 훅갑니다	False	others	offensive
X 쳤으면 다야???? ㅋㅋㅋㅋㅋㅋㅋㅋ 방송에서 저딴 식으로 표현하는건 문제 있다고 생각하는데. 그리고 몰카범죄룰 우려하는 메세지를 쓸 거 였으면 다르게 표현할 방법이 충분히 많았다. 제발 일차원적으로 생각하지 마세요 좀	False	none	offensive
X1의 인기나 인지도는.. 워너원의 1/20도 안될것같습니다..멤버들이.. 매력이 없어요..	False	none	offensive
Xx같은 한국 x 같은법 이라는 승리놈하고 클럽 뭐 어쩌고 관련잇던애 아니엇나? 그런데 얼쩡거리고 드나들던애들 연예계 방송가에서 퇴출하지? 여자연예인들이 인물이 그리도 없어? 내가 추천 좀해주까?	False	none	hate
YG 제국 부활하자 빅뱅 컴백해서 방탄 밟자!	False	none	offensive
YG올해 아이콘 빅뱅 위너 블핑 대박나니까 블핑 빌보드뜨는날 몰아서 ㅈㄹ들이네..그래도 잘나가~~~	False	none	offensive
Yg가 망하면 안되는이유 걸그룹 독보적 원톱 블랙핑크 때문이라도 흥해야함	False	none	none
Yg쉐키들 꼴보기도 싫다 이제 그만 나와라 뉴스	False	others	offensive
aoa가 걸그룹으로 가치고 있음? ㅋㅋㅋ요즘 아이돌은 20살만 넘어도 늙은거임 ㅋㅋㅋ 아이즈원 장원영 안유진 ITZY 유나같은애들 봐라 17살이니까 존나쩔지 ㅋㅋㅋ여자는 무조건 어린게 최고임	True	gender	hate
b.c급들 기사 쓰지말자	False	none	offensive
bts 이제 한개씩터지는구나	False	none	none
bts가 짱이지	False	none	none
cg겠지 저걸 실제로 했을까	False	none	none
dna가 좋아서 기대했는데 페이크러브 정말 실망.. 좋다는 사람들 방탄팬이라는 입장 떠나서 만일 신인그룹이 같은 노래 불렀다 쳐도 과연 좋다고 할 수있나?? 뮤비는 오글거리고..	False	none	none
ebs에서는 장난이라고 서로 때리고 욕하고 하나 봐요 누가 입사하고 싶어 하나요?	False	none	none
fm대행진은 kbs아나운서들만 하는줄알았는데..	False	none	none
god 박준형이 이 기사를 싫어합니다.	False	none	offensive
jtbc가 밀어주는건 일단 의심부터 해야함	False	others	offensive
jyp 구내식당 진짜 모든회사들중에서 갑이더라	False	none	none
life*니같은 개돼지가있어서 개한민국이 엉망진창인거야.주제를알아야지.일베충만큼 개돼지인 문베충 나라 문화 방송말아먹는 쓰레기들	False	others	hate
mbc 요즘 일반인들 섭외 ㅈㄴ하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한심	False	others	hate
mc 몽은 욕하면서 약쟁이는 칭찬하냐? 반칙으로 딴 메달이 무슨 정당성이 있다고. 에휴.. 개.돼지들.	False	others	hate
oecd여성들중에 가장 의욕없고 꿀빨러에 핑계대기 일상인 한국 여자들이 전세계도 아니고 oecd 선진국 여자들에 비비면서 임금문제 거론하는게 가장 어이없다	True	gender	hate
sns로 열애인정해서 맞은거아녀????	False	none	none
sun2**** 무슨 천명훈을 말도 없이하차 시켜요 천명훈 까리는거 방송에 나왔습니다	False	none	none
tvn은 진짜 또 걸리냐 ㅋㅋㅋ 불쌍하다..	False	none	none
tv조선서 키워줬더니 ㅋ	False	none	offensive
ubd 안마 제이튠 주식 먹튀 ㅆㄹㄱ	False	none	hate
y2k 고재근 선생인 줄 만 알았다^^	False	none	none
yg 이사지만 저 사람은 좋은 사람일 수도 있겠지. 확실한 건 잠잠하다가 소속사 이미지 바닥치니까 계속 여기저기 나오고 기사 뜨는 건 기분탓이 아닐걸. 그런건 별로임.	False	none	none
yg음악은 영원하다. 케이팝에 yg음악 없으면 pop 음악이 커지겠지요.	False	none	offensive
~내나이 쉰네살인데 순간순간 옛기억이 떠오를때 부끄러워 나혼자 몸이 오그라들때가 있는데 ~공배우님도 그런 느낌 아닌까요~	False	none	none
~한ㅅ희 나오고 나서 전혀 독특해 보이지 않음 그리고 설리가 잘못한것도 없고ㅡㅡ	False	none	none
‘그’ 성별 72% 산이를 향한 피의 쉴드 오지네. ㄷㄷ	True	gender	offensive
‘노무현’하지 않은게 다행이네요	False	none	hate
● 꼰대들 특징: 나 때는 말이야~ 누가 뭐라고 괴롭히든 다 참고 버티고 다녔어~ 그만한 일로 그러냐ㅉㅉ 약해빠져가지구 ㅉㅉ 원래 사회 생활이 그래~~	False	others	offensive
●그러고보면 홍상수 김민희는 진짜 예쁜사랑 하는거였구나●	False	none	none
★속보★!!!! ㅈ됐다~~!!!! 국민가수 조용필도 빨갱이다~~ 마!! 조용필이 저거 고향이 으데고?? 전라도 아이라 카이??	False	others	hate
★정용화 오빠가 죄인이면 김연아, 박지성도 죄인이다. 오빠 군대 잘 다녀오세요	False	others	offensive
♥기사에서 윤총경, 승리 다 전라도 동향으로 서로 술먹고, 골프하고 승리외 운영술집 영업정지외 계속 봐주고 . 태어나지 말고 분리되어야할 절라도♥	False	others	hate
♨ 그래도 반성 한거 같은데 그냥 넘어가든가 ..	False	none	none
♨ 시즌2 원하는 사람 아무도 없다.	False	none	offensive
♨ 충격 ! 결국 하나경이 맞았네. 강은비 그렇게 안봤는데 ..	False	none	offensive
ㄱㅣ사 쓸게 없구나 이딴게 기사에 나오고 봐야하다니...	False	none	offensive
ㄴㅏ경원 미모 봐라. 실화냐?	False	none	none
ㄴ와 약쟁이 ^^	False	others	hate
ㄹㅇ 관종....	False	none	offensive
ㅁㅊ 약쟁이 슬슬 기어나오시구요~	False	others	hate
ㅅㄹ가 쏘아올린 핵폭발	False	none	offensive
ㅅㅂ 더럽게 메갈어로 제목뽑는거 봐라	True	gender	hate
ㅅㅂ 모르고저런거지 알고 저랬겠냐 꼰대 새키들 드럽게 말많네 ㅋㅋㅋ	False	others	hate
ㅅㅅ 한게 자랑? ㅈㅅ로 그것도	True	gender	hate
ㅅㅅ는 언제 하셨나요?	False	none	hate
ㅅ궁합이 안맞았나보다ㅠ	True	gender	offensive
ㅆㄹㄱ와 같은 한남들 말 무시하셔요^~~^우리 팜므파탈 나래씨^~^♡♡	True	gender	hate
ㅆ성과들과 비교가 안되는 자연미 너무 좋다.거의 이영애배우급 미모.	False	others	hate
ㅇㄴ 씨뱅 마약한것도 성추행한것도 아닌데 무안줫다고 존ㄴ 지ㄹㅏㄹ하네ㅋㅋㅋㅋㅋㅋㅋ 여자연예인이 감히 생글거리지 않았다고 기사 헤드라인까지 비꼬기시전	True	gender	hate
ㅇㄴㅇ 맴버중 한명은 친할법한데 ..ㅇㅅㅇ 라던지... 무슨일이 있었던거냐	False	none	none
ㅇㅅㅇ 여자들은 싫어합니다	True	gender	offensive
ㅇㅇ아프던 말던 뭔상관 비호감인건 변함없노ㅋㅋ	False	none	offensive
ㅇㅏ직 폐지 안했나.	False	none	offensive
ㅇㅣ아즘마는 조용히 살고 싶다면서 왜 자꾸 기어나와? 돈도 많이벌었다고 예능에서 깝치더만.진심 관종임?	True	gender	hate
ㅇ정보부에서 조사하나봐요 .. 승리 곧 자살하겠네 아니..경찰이 질소넣고 자살했다고 하겠네..	False	others	hate
ㅈ 라인이 너무 이쁘다	False	none	hate
ㅈㄴ 작위적인느낌	False	none	none
ㅈㄹ병들 사기를치던 절도를하던 깜방서 있어봐라 하루라도 빨리 나오고 싶은게 인간에 본성이다죄는미워하고 사람은 똑같다	False	others	hate
ㅈㄹ염병..ㅋㅋ재산이 1조인데 천억안내고 머리굴리다가 꼬시고 오지다	False	none	none
ㅈㄹ옘병하고있네...프로그램 끝나면 끝나버리는 연애따위...이젠 안믿는다...ㅋㅋㅋㅋㅋ	False	none	offensive
ㅈㅇ과 이별한 아별	False	none	hate
ㅉㅉ 아빠 없이 무슨.... 친가 뿌리와 족보는 제대로 알려주고 키울지 걱정이구먼	False	others	hate
ㅉㅉ 하여간 지가망하면 남탓하고보는 한국사람들은 이래서 안돼 한국은 평생후진국이다대표적인 예로 문재앙	False	others	hate
ㅉㅉㅉ 개인이 여행간걸 머라고 하는게 아니잖아.. 굳이 지금 이렇게 예민한 시기에 SNS 에 올린게 문제인거지!	False	none	offensive
ㅉㅉㅉ 서로 원하는거 충전 얼마나 갈지	False	none	none
ㅊㅈ만나고나서 많이 바뀌긴했짘ㅋㅋㅋㅋㅋ	False	none	none
ㅋ 난 키 210km	False	none	offensive
ㅋㅋ 3주는 왠만하면 병원에서 스티커 발부해준다.	False	others	offensive
ㅋㅋ 더럽다 진짜 ㅋㅋ	False	none	offensive
ㅋㅋ 문재앙 이제 하다하다 박명수 한테도 욕먹네 ㅋㅋㅋ	False	none	hate
ㅋㅋ 시로마 미루 안된거 부터 ㅆ 주작이었다	False	none	offensive
ㅋㅋ 시선강x 싫다는 언냐들 왜 설리는 싫어하냐 ;; ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	True	gender	hate
ㅋㅋ 역시 1화 방영후 말들이 많네 참고로 미스터션샤인도 1화 나오고 재미없다느니 이해가 안간다느니 말이 많았는데ㅋㅋㅋ 적어도 4회분량 까진 보고 말하자	False	none	none
ㅋㅋ 오빠들 나 이제 스브스 아나 됐는데 내 친구가 나 까요 나 좀 도와줘요? 뭐 이런거? 너나 너 친구나 도긴개긴일세.넌 이제 신입이지 누구같이 스타 아나도 아니다 ㅋㅋ	False	others	offensive
ㅋㅋ 이형 한번에 두명 먹었네 ㅋㅋ같이좀먹자	True	gender	hate
ㅋㅋ 작가 소설과 연기자들 연기에 놀아나는꼴이 개꿀쟁이네	False	none	none
ㅋㅋ 첫 열애 기사 떴을 때 베뎃 전부 다 단톡방 내용이었는데 글쓴 애들 쫄리겠네ㅋㅋ 제발 선처 해주지 않았으면 좋겠다	False	none	none
ㅋㅋㅋ 14키로 뺄게 아니라.. 0하나 더 붙여서 140키로 빼야 하지 않음?? 보통 저런 몸은 임신도 힘들고..임신해도..차이가 없어 모르던데..출산까지 ㅋㅋㅋ 암튼 행복하게 잘 서시길~~~	True	gender	hate
ㅋㅋㅋ 2018년도 재미지네~~결국 진흙탕속으로~ ㅋㅋㅋ	False	none	none
ㅋㅋㅋ 41살에20살이랑결혼한다데니 김새론영입하누 영계킬러ㅋㅋㅋ 사촌형 ㅇㅈㄹㅋㅋ후전드냐ㅋㅋ	False	others	hate
ㅋㅋㅋ 가정적인 모습 보여주려고 애쓴다 애써사람 그렇게 쉽게 안변한다ㅋㅋㅋ쇼인도 부부 많던데~연기자부부니 알아서들 연기는 잘 할 듯~?	False	none	offensive
ㅋㅋㅋ 강다니엘 빠순이들 많네~ 뭔가있었겠지.있었으니까 저난리피웠겠지.맹목적으로만 쳐보질말고 실체를봐라.쉴드칠게 따로있는거야 빠순이들아	True	gender	hate
ㅋㅋㅋ 개꼬시다	False	none	offensive
ㅋㅋㅋ 그냥 빼도 못생긴건 여전한데 뭐라는거야 자기들끼리 훈훈거려 ㅌㅋㅋ	False	none	hate
ㅋㅋㅋ 그럼 사기쳤어요 하겠냐 공소시효 다 끝난 마당에?	False	none	offensive
ㅋㅋㅋ 드라마 ㅆ노잼.좀비들 퀄리티 무엇?ㅋㅋㅋ 다신안본다.	False	none	none
ㅋㅋㅋ 보기힘들어 방송활동접었다며편하게 얼굴보고 밥먹자는건 뭐임?ㅋㅋ	False	none	offensive
ㅋㅋㅋ 생각이라는 걸 하고 산다면...ㅋㅋㅋㅋ	False	none	offensive
ㅋㅋㅋ 저런것도 정신병임. 정신과상담받으세요	False	none	hate
ㅋㅋㅋ 젝키 계약한 yg 같은 꼴인가? 과연 합류 이후에 결말이 어떨지 궁금하네	False	others	offensive
ㅋㅋㅋ 츄 ㅋㅋㅋ 짠내투어에서 봤다 ㅋㅋㅋㅋㅋ 정말 해맑드라 ㅋㅋㅋㅋㅋㅋㅋㅋ	False	none	none
ㅋㅋㅋ 한국에서 더러운 불체자 태국넘들 개많은데 그 쉐리들도 일단 깜방보내자ㅋㅋㅋ	False	others	hate
ㅋㅋㅋㅋ 여자들 또 우르르 몰려와서 여자까지 시작하네 ㅋㅋㅋ 진짜 과학은 틀리지 않는다	True	gender	offensive
ㅋㅋㅋㅋ 축구랑 타이밍 겹쳐서 네이버 1위먹네 ㅋㅋㅋ댓글은 축구랑 백배차이인데	False	others	offensive
ㅋㅋㅋㅋㅅㆍㅂ머야 결혼도안하고 그염병하며 티비나왔던거? 결혼안하고 헤어졋으면 대박코미디엇네ㅋㅋ	False	none	offensive
ㅋㅋㅋㅋㅋ 개그맨 하셔도 되겠습니다 올해 들은 개그중 최고로 웃겼습니다	False	none	none
ㅋㅋㅋㅋㅋ 다 알고있지 .. 이제 러브라인은 누구로하지??? 김종국 전소민우로 하자 ㅋㅋㅋㅋㅋㅋㅋㅋ 광수야 헤어지면 다시 러브라인만들어줄게 ㅋㅋㅋ 나혼자산다 전현무 한혜진 처럼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ다시 돌아와	False	none	none
ㅋㅋㅋㅋㅋ 정존물 ㅋㅋㅋㅋㅋ	False	none	hate
